company,ticker,exchange,date,analyst_name,question,suggested_label,label
"Build-A-Bear Workshop, Inc.",BBW,NYSE,2024-12-06,Greg Gibas,"Yeah. Good to hear. And thanks for the color there. I guess lastly, just a quick clarification question. Voin, I think you were speaking to some type of guidance on G&A in terms of a percentage of sales in relation to 2023. Wonder if you could just maybe repeat or clarify that, I think I missed a portion of it.",Alarmed,
"Culp, Inc.",CULP,NYSE,2024-12-06,Brian Gordon,"Yes, I would agree with that. I think as I look at the model, the potential for really significant operating leverage moving forward is probably what I am most focused on. So definitely, thanks for that. I have one kind of final question and this is probably more for you, Iv. How concerned are you about the potential for increased tariffs under the new administration? And what the set of options that you guys have at the ready to respond to any potential changes that you see on that front?",Alarmed,
"The Cooper Companies, Inc.",COO,NASDAQ,2024-12-05,Craig Bijou,"Okay. That's helpful. And maybe if I could follow up on the CVI guide. So the last two years, you've guided 7% to 9%. Obviously, it's 6.5% to 8.5% this year; you're 50 basis points less. I think your market expectations are still -- I think you said it was 5% to 7% for next year and I think that's what you said last year as well. So, maybe just a little bit more color on the lower guide. What's reflected in that? Any concern about the level of share you can take. Just want to understand kind of the dynamics of the slightly lower guide than what you've done previously?",Alarmed,
"Rubrik, Inc.",RBRK,NYSE,2024-12-05,John DiFucci,"Thank you. By the way, this Q&A, this is really helpful and really appreciate people your answer to Kash's question. He always asks good ones. But we all get that from investors. Like why is this going to last and that was helpful. That was really -- that was clear as to why this -- why you're not going to be Veritas in 1999 by the time 2000, I don't know [indiscernible] came along or whatever. But my question here is on partnerships. You spoke about technology partnerships, but there's -- and by the way, you need to have everything you're talking about. The one thing that really hasn't been hit on here is go-to-market. So can you talk a little bit more about go-to-market partnerships? We all know that you have a really strong go-to-market team, but our field work indicates that you sign more VARs. We're just hearing more VARs and more reseller partnerships. And they want they wanted to partner with you and those that focus on security, and they're already starting to see early traction. This is the traditional way that enterprise security is sold. So can you talk a little bit about your efforts there? And what is what we're hearing right? And how should we think about go-to-market partnerships, that contribution going forward? Thank you.",Alarmed,
Veeva Systems Inc.,VEEV,NYSE,2024-12-05,David Larsen,"Thanks very much. And then for Vault CRM wins, I think there were 14 in the quarter. That seems like a very good number. There were like three and five and five in fiscal 3Q and 4Q of '24 and 1Q of '25. 14 sounds like a lot. Is that a new sort of steady state and why is there like such an uptick? Thanks.",Alarmed,
Veeva Systems Inc.,VEEV,NYSE,2024-12-05,Steven Valiquette,"Great. Thanks. Good afternoon. Thanks for taking the questions. It's good to be covering the Company again. Just a couple of questions here. First, on the Development Cloud. On the back of our initiation, we did some channel checks on industry R&D spending trends, et cetera, and one of the questions I wanted to ask on that was actually just touched on the last question, but maybe just to drill in a little bit deeper. I mean, it does look like clinical trial starts globally are actually growing again now for the last two quarters after declining for -- year-over-year for a couple of years. So I'm just curious as the follow-up question around that, do you guys actually look carefully at data points like that, or do you just focus more on your own customer discussions, et cetera, that you just alluded to as far as your assessment of the marketplace? And then the only other quick follow-up question really is just at the Analyst Day a few weeks ago, the way you guys broke down your total revenue base by customer type was just a little bit different this year than it was last year. So I'm hoping you can just remind us again what percent of your total book of business relates to CRO customers just from a percentage of revenue standpoint. I recall it was no more than 5% last year, but just want to confirm if that was still the case currently. Thanks.",Alarmed,
"American Outdoor Brands, Inc.",AOUT,NASDAQ,2024-12-05,Alex Sturnieks,"Okay. And then, given some weakness in the shooting sports industry recently, you saw some good growth there. But could you provide some additional color on how products in that market performed in the quarter?",Alarmed,
Hewlett Packard Enterprise Company,HPE,NYSE,2024-12-05,Tim Long,"Thank you. I was hoping I could ask a two-parter on the AI service. First, can you just clarify that de-book comment that came in? It sounds like $700 million de-book of backlog. Was that a competitive loss or someone had double ordered or something else that was going on there? And then the second part, following on the gross margin. Can you talk a little bit about when you're looking at AI business, what are the metrics you are looking at? Are you -- do you have thresholds for gross margin or cash flow or something else that prohibits you from going at certain deals where maybe ODMs or lower gross margin OEMs would go? Thank you.",Alarmed,
Hewlett Packard Enterprise Company,HPE,NYSE,2024-12-05,Toni Sacconaghi,"Hi yes. Thank you. I'm not sure if you said it but perhaps you can just confirm, did your AI pipeline grow sequentially? And then on the Hybrid Cloud side, it was a huge jump sequentially, dramatically higher than your guidance as well and the biggest sequential increase we've ever seen. Was there any unusually large deal in there? I know you closed Morpheus also but I don't think that was really material. Can you add any color about whether there was anything unusual? Did you pull forward deals and hence you think next quarter is going to be seasonally weaker than usual? But again, there was an enormous differentiation relative to normal history in your own guidance. Thank you.",Alarmed,
Hewlett Packard Enterprise Company,HPE,NYSE,2024-12-05,Samik Chatterjee,"Hi, thanks for taking my questions. If I can change gears here a bit on Intelligent Edge. You talked about the strong order patterns. But when I look at the revenue performance in the quarter, I know you were up modestly, but it did seem like overall from at least relative to some other peers that have reported, the sequential growth was a bit more limited relative to sort of quarter-over-quarter increases here. So I mean, is there -- how you are thinking about sort of the next year playing out? And when you look at [auto] (ph) trends, are they coming in as expected? Or are you seeing a bit more weakness than what you would have expected maybe 90 days ago? And within that portfolio, how are you thinking about where, as you said, enterprises are going to spend more relative to their IT budgets? What are you hearing from them in terms of priorities within that portfolio? Thank you.",Alarmed,
"Tilly's, Inc.",TLYS,NYSE,2024-12-05,Matt Koranda,"And can you remind us -- like maybe just refresh us on the comparisons that we're up against from December and January of last year. If I recall correctly, it was relatively negative and maybe deteriorated in the fourth quarter last year. So are there easier comparisons as we get in December, January?",Alarmed,
"Petco Health and Wellness Company, Inc.",WOOF,NASDAQ,2024-12-05,Unidentified Analyst,"This is Matt McCartney on for Seth Basham. Just wondering if you could talk about the pricing impact in the quarter, whether it was positive or negative and how we should think about pricing going forward as you tweak your product mix?",Alarmed,
PVH Corp.,PVH,NYSE,2024-12-05,Jay Sole,"Great. Thank you so much. I'm hoping you just elaborate a little bit on inventory. I think you said you're making some -- you brought some stuff in early. You made some investment in your most essential products. Can you just talk about the impact of that on fourth quarter and sort of the -- what -- we talk about essential products, like what does that mean? And being in stock 95% of the time, like, how does that help the business? And why did you make those changes? Thank you so much.",Alarmed,
GMS Inc.,GMS,NYSE,2024-12-05,Michael Dahl,"I want to go back to the Ceilings side. If I look at your guidance and take into account that the Kamco acquisition and some of the other deals are driving kind of double-digit M&A contribution and you're expecting mid-single-digit price mix growth, that suggests that organic volumes would be declining, call it, like high single digits which is a pretty big acceleration to the downside versus the last couple of quarters. Can you talk more specifically about what's driving that expectation for your organic Ceilings volumes in 3Q?",Alarmed,
Western Digital Corporation,WDC,NASDAQ,2024-12-05,Aaron Rakers,"Okay. That's perfect. So, I try and juxtapose all of this because everything you just said is really, in my opinion, structurally good for the industry, right? The setup looks good into 2025. We've got separation. You've got Kioxia IPO. However, it seems like the pricing dynamics, the spot market seems to be still under pressure. And I get this question all the time, have you seen spot pricing? Why is -- is that the right way to think about this, or...",Alarmed,
Western Digital Corporation,WDC,NASDAQ,2024-12-05,Aaron Rakers,"Why is that wrong? Like, walk us through the technology?",Alarmed,
The Toronto-Dominion Bank,TD,NYSE,2024-12-05,Gabriel Dechaine,"Okay. And a quick one, just on the securities repositioning again. The losses that you're recording on disposition that's being adjusted out of earnings, but then the benefit, the $400 million or so to NII, that's going to be kept in your adjusted figure or retain -- remain in your adjusted figure? Is that what we're doing here?",Alarmed,
The Toronto-Dominion Bank,TD,NYSE,2024-12-05,Paul Holden,"Sorry, I might have missed a little bit of that last question, but I think it's an important one. Just in terms of the growth expectation for Canada, obviously, you held a big Investor Day, not that long ago, focusing on the growth opportunities in Canada. I want to make sure there's no message that any of that has changed, maybe the targets end up changing a bit, but that all those growth opportunities you highlighted back in '23, are still on the table?",Alarmed,
The Toronto-Dominion Bank,TD,NYSE,2024-12-05,Sohrab Movahedi,"And so you have -- I mean you yourself are the Chief Operating Officer now, I think a number of the business heads around the table are embarking on new opportunities and challenges, so when you are doing this strategic review, what are they doing as far as the base business? What is Tim Wiggan doing as far as TD Securities is concerned? Is he in a holding pattern? Or if they want to deploy capital, they are allowed to do that in advance of the strategic review being done?",Alarmed,
The Toronto-Dominion Bank,TD,NYSE,2024-12-05,Tim Wiggan,"People are always our primary concern in any business I've been involved in, and they've always been capital markets. I've continually said that you can have the best capabilities and the best platforms and the best technology, but we need people. And I believe we will have and continue to have a team of people that will allow us to execute. And frankly, when we're through this, [Technical Difficulty] Securities will be a destination of choice for professionals in the markets that we operate in.",Alarmed,
"Greif, Inc.",GEF,NYSE,2024-12-05,Unidentified Analyst,"Hi guys. Thanks for taking my questions. This is [indiscernible] on for Mike Roxland today. I guess just I apologize if I missed it earlier in the call, but does your guidance assume full implementation of the containerboard price increase?",Alarmed,
"Salesforce, Inc.",CRM,NYSE,2024-12-05,Karl Keirstead,"Maybe we'll just -- we'll press on that a little bit because it would seem that if a customer is going to justify a big investment in agents, maybe the justification can simply be the speed and accuracy of their responses to the customer and that might create enough value to justify the investments in this new technology. But the ROI to the customer is more powerful when they can actually start slowing down the pace at which they're hiring contact center agents or frankly, eliminating them. That's the big ROI. So is it not likely Bill that over the next several years as your agents and others get more powerful that we will see seat compression? And for investors worried that you might win on the Agentforce side, but don't forget, you might lose on the seat side, what would you say in response to those concerns?",Alarmed,
Duluth Holdings Inc.,DLTH,NASDAQ,2024-12-05,Dylan Carden,"Thanks. Sorry if I missed this. You mentioned 25% of the fleet comes due by '26. Do you have a sense of what falls under your new threshold as far as sort of the -- even if it's a range, the magnitude of closures from here?",Alarmed,
Bank of Montreal,BMO,NYSE,2024-12-05,Gabriel Dechaine,"Okay. And then, for Piyush, the PCL outlook, you gave us a decent, I guess, sense of what to expect, but the messaging in Q3 was that we'd have high 50s basis points or somewhere in the 60s basis points on impaired over the next few quarters and we got the high -- mid to high 60s basis points this quarter. How do you expect the impaired loss ratio to trend over the course of 2025? And, is there a point at which you'll be releasing performing provisions? I know mechanically you probably will, but if I look at your coverage ratio, I'm looking at the performing ACL, the trailing 12-month impaired, still lower than where you normally would be.",Alarmed,
Bank of Montreal,BMO,NYSE,2024-12-05,Ebrahim Poonawala,"Good morning. I guess maybe just Piyush following up on credit, so I heard your comments on PCL. Just address two more things, if you can. When we think about the formations, whatever, $2.2 billion this quarter, is that feel like based on the work you've done, we are at peak formations? Like, again, assuming there's nothing that goes wrong with the macro, should we see that $2.2 billion begin to come down starting next quarter? And also talk about how we should think about losses. When you look at the net write-offs jumped quite a bit this quarter. Just trying to get a sense of the loss content of these loans that are actually getting into impaired loans.",Alarmed,
Bank of Montreal,BMO,NYSE,2024-12-05,Lemar Persaud,"Yeah, thanks. For Piyush, I think last quarter, you suggested it felt like I think Q4 and Q1 losses could be the peak. And then, we move back towards the long-term historical average as we move through 2025. I think that number was the mid-30s. Correct me if I'm wrong on that one. I'm just trying to figure out how you're thinking about the trajectory in getting to that high 40s guidance. Does it feel like towards the end of 2025, moving back to that historical average is possible, exiting 2025?",Alarmed,
Canadian Solar Inc.,CSIQ,NASDAQ,2024-12-05,Philip Shen,"Okay, thank you. Shifting to the other topic on AI and data centers, these hyperscalers are very hungry for power. You guys have your Recurrent business. There’s a lot of uncertainty, as you highlighted in your release and remarks, in the U.S. market, and so power demand is going higher but it doesn’t seem like the hyperscalers are willing to pay a premium on power thus far. When do you think they might be willing to pay higher prices that can support economics in the development of solar in the U.S.? There’s so much uncertainty in the higher--you know, with the ITC risk, of that being compressed or going away. It won’t go away, but we think it might get compressed .What are your thoughts as to the timing as to when hyperscalers are willing to pay higher prices to offset some of this uncertainty and the potential weaker economics? Thanks.",Alarmed,
Canadian Imperial Bank of Commerce,CM,NYSE,2024-12-05,Gabriel Dechaine,"Just first one on the credit guidance, that's been reiterated. And if I'm understanding you correctly it’s that the loss rate will be higher in the start of the year and the grade down over the course of the year. It's consistent with what another bank said and in contrast with different banks. Just wondering why your outlook might be different? I know these portfolio trends and all that stuff that play a role. Is it largely because the -- that CRE office portfolio loss rate continues to decline and that's going to offset stuff over the course of the year?",Alarmed,
Signet Jewelers Limited,SIG,NYSE,2024-12-05,Mauricio Serna,"Yes, thank you. Just a quick follow-up. We wanted to understand the digital banners, like the impact on the total price, like, why is that? Because of engagement, what -- is there more promotions and just on the promotional environment, how are you thinking about that in Q3 versus the previous quarters and how are you thinking about that in Q4? Thank you.",Alarmed,
Honeywell International Inc.,HON,NASDAQ,2024-12-05,Joe Ritchie,"Helpful. I want to go back to the conversation we had earlier around some of the acquisitions, and particularly the Access Solutions deal since it was the largest one announced to date. There's some concern heading into 2025 on not Access Solutions specifically, but the commercial end markets in the U.S. At the same time, to the point you made earlier, there is a significant amount of investment that's occurring from a mega-project perspective here in the U.S., and the companies that are selling into these facilities are likely to start benefiting in 2025. So in that context, how do you think about what trends are you seeing in the business today, and then how do you think about like accretion that you could potentially see from the business in the next one to two years?",Alarmed,
"SentinelOne, Inc.",S,NYSE,2024-12-04,Gray Powell,"Oh great. Thanks for taking the questions. And yes, I'll echo Brad's comments. It's great to see the net new ARR get back into positive territory. Just in terms of seasonality, maybe I missed this, but what was it that actually drove the stronger quarter-over-quarter growth in Q3 this year that, was different than prior years? And then just like how should we think about the sustainability of - whatever that driver was?",Alarmed,
KLA Corporation,KLAC,NASDAQ,2024-12-04,Timothy Arcuri,"Great. Can we talk about gross margin. And it's sort of struggled to get much above 62% recently. So can you talk about some of the puts and takes. I think China is for not just you, but for everybody a bit higher margin. So that's a headwind coming down. That's a mix headwind. Service is a little lower gross margin for you, I believe. So that's -- maybe that coming down a little bit is a better offset for you. But when you look at the puts and takes, it seems to me probably a little challenging for you to get gross margin much above 62%. Can you just talk about sort of how you can push gross margin up?",Alarmed,
"nCino, Inc.",NCNO,NASDAQ,2024-12-04,Charles Nabhan,"Hi, guys. Thanks for getting me in. And I apologize if I missed this, but -- you had mentioned that the home-builder deal fell into 3Q. Could you quantify the impact that may have had on the quarter and specify whether -- how much is in professional services versus subscription?",Alarmed,
"Moderna, Inc.",MRNA,NASDAQ,2024-12-04,Cory Kasimov,"Okay. And I mean there's -- there are analogs you look in the past, where vaccines that are now very large struggled initially until ACIP issued guidelines and they're kind of broad treatment recommendations for them. Would you expect that to be the same for CMV?",Alarmed,
Intuit Inc.,INTU,NASDAQ,2024-12-04,Michael Turrin,"Yes. That all makes sense. Just before we get into some of the specific drivers, the long-term targets acknowledging the earnings growth of Intuit remains as consistent as ever. The mix shift of revenue growth has changed a little bit. And within that, the consumer targets have come down a touch, the Credit Karma targets have just been kind of -- they've evolved, right, as that business has evolved and cyclicality has certainly played a part in that. Just help us understand what goes into that planning cycle, that decision to kind of tweak those long-term ranges, what the considerations are and what gives you confidence in the 6% to 10%, the 10% to 15% on a go-forward basis?",Alarmed,
"Ooma, Inc.",OOMA,NYSE,2024-12-04,Brian Kinstlinger,"But 100,000 lines equates. If they all converted, there's no loss of lines. For example, 100,000 lines on a rough basis adds what kind of revenue?",Alarmed,
"American Eagle Outfitters, Inc.",AEO,NYSE,2024-12-04,Janet Kloppenburg,"I wanted to just, Jen, learn a little bit more about the choppiness. Did any of that beyond weather, which I heard loud and clear, could any of that have to do with perhaps inventory and balances like I saw a lot of the colors sell down in the stores? And I thought maybe you could have had more of that like the colorful sweaters and that kind of stuff. And I wanted to understand more about November, Mike. I think you said that November was weak, maybe until Thanksgiving and then it picked up. And I think that's what you said. Maybe you could clarify and if you've had some choppiness then? And does the great SG&A performance of the third quarter, does that steal from the fourth quarter on SG&A? Thank you very much.",Alarmed,
"American Eagle Outfitters, Inc.",AEO,NYSE,2024-12-04,Dan Stroller,"Hi. Good evening. This is Dan on for Simeon. Thanks for taking our question. Curious what your general lead times are now? And maybe how much has been left open to buy for holiday versus prior years? And I'm sorry if I missed it, but how are you planning to end the year with inventory? Thank you.",Alarmed,
"American Eagle Outfitters, Inc.",AEO,NYSE,2024-12-04,Marni Shapiro,"That's great. And then, Jen, if we could -- it sounds like almost a tale of two businesses right now. When things are good, they're really good. I was in your stores all Black Friday. You know I sent you pictures. Your bags were literally everywhere. They were gremlins through the mall. So is the choppiness, to me, you had a lot of sweaters leaving the store. You had a lot of warm weather. To Janet's point, your fashion when it came in sold very, very quickly. How much of this can you really attribute just to lack of weather-driven demand? And if that really is the case, I guess, why would you be so concerned about January? I mean it's possible we have a really warm January, but it feels inconsistent because you're getting really good reception to all the products you're putting in the store? So I'm trying to marry those two things.",Alarmed,
Verint Systems Inc.,VRNT,NASDAQ,2024-12-04,Joshua Reilly,"Yes. If you look at customers renewing here, are you seeing any change in seat counts and what the customers are actually buying in terms of the net spend actually being higher as a result of everybody's concerns about what's going on with contact center seats in the market?",Alarmed,
"Five Below, Inc.",FIVE,NASDAQ,2024-12-04,Jeremy Hamblin,"Thanks. Congrats to Winnie and congrats to the whole team on the improved results. I wanted to come back to just understanding when you look at Q4, you're off to a solid start, with the Black Friday, period. But what do you think maybe you missed out on? If you could have had a do-over on where your product assortment was, what do you think the missed opportunity is in Q4, whether that's licensing opportunities with kind of some exciting things like Moana, Wicked, et cetera? But what do you feel like you would have leaned into a bit more that could have drove business better? And then just as a reminder, can you outline for us, Ken or Kristy, what the compressed season impact was in 2019? I think I recall is like several hundred basis points to comp.",Alarmed,
"Five Below, Inc.",FIVE,NASDAQ,2024-12-04,Scot Ciccarelli,"Good afternoon, guys. So, you guys have pointed to excessive weakness with your lower-income consumers, as the primary sales headwind. I know you've had your hands full, but do you have a feel for what customer cohorts drove the sequential improvements in traffic? Was it concentrated with lower income consumers? Or was it kind of across the board?",Alarmed,
Seagate Technology Holdings plc,STX,NASDAQ,2024-12-04,Aaron Rakers,"That's -- so it's read its heads and wafer stuff. Okay. So moving past that, and maybe somewhat tied to it, but this characterization of demand durability, visibility in terms of nearline, persistent questions always like, well, how is this different, right? Like do you really have good line of sight in terms of these drives that are obviously recovering from a demand perspective over the last couple of quarters are getting deployed. And are we not concerned at all that there could be an inventory build that you have another correction in front of us, just talk about that.",Alarmed,
"Gilead Sciences, Inc.",GILD,NASDAQ,2024-12-04,Umer Raffat,"Islatravir. I'm curious how you guys think about that 1 pill once a month, any risks with that or not? My personal concern is CD4 accounts with that, but I'm just curious...",Alarmed,
"Gilead Sciences, Inc.",GILD,NASDAQ,2024-12-04,Umer Raffat,"Got it. Let's transition to oncology business. A couple of things there. I think the first one is -- maybe just to -- for folks that may have missed it. There's always like market speculation that comes up from a BD perspective as well. But I think one of the comments you made at the start, which I think you guys have been pretty consistent on is the scope of BD is limited to small to midsized transactions, and that's kind of the direction you guys are going?",Alarmed,
Amgen Inc.,AMGN,NASDAQ,2024-12-04,Umer Raffat,"Outstanding. Well, there are so many directions to go down, but let me just start by saying anyone who wants to ask the question from the audience, just let me know and I'll make sure -- we arrange for that. But I guess we should start with MariTide even though I actually had a lot of like structural question from a broader Amgen perspective heading into Prolia XGEVA next year as well. But I want to come back to that. But let me -- since everyone is so focused on MariTide right now. Question number one for me. We can talk about the 20% and the weight loss seen. The curve did not plateau to your point, so it keeps going. However, patients are transitioning to Part 2, and I was just thinking about -- so we technically never get a read beyond that 20%, but then I was also thinking some of the patients will be rerouted to the same arm as well. So can we get a read at least in a small subset of the patients that they got to 20% and did that curve continue from there?",Alarmed,
Amgen Inc.,AMGN,NASDAQ,2024-12-04,Umer Raffat,"Okay. But in that 280 mg, looking like the best dose and the obesity course, and again, that was different than the diabetes. So 280 mg gets you to 20% weight loss. But upon rerandomization in Part 2, 280 drops down to 70 mg, meaning it does not move over to 420 mg. So I guess in that cohort that was tracking at 20% peak weight loss. Do we truly get to see how much that will deepen because we technically won't, right? Because they get to a lower dose in Part 2.",Alarmed,
Amgen Inc.,AMGN,NASDAQ,2024-12-04,Umer Raffat,"Got it. So 420 mg to 420 mg transition, that's where you want to go above 20%. When can we get that data at the earliest? Just to understand the max weight loss, Justin, is that something that could come by summer next year? Is that going to happen after Phase 3 is already underway?",Alarmed,
Amgen Inc.,AMGN,NASDAQ,2024-12-04,Umer Raffat,"I'll tell you the direction I was going with is, traditionally, a lot of the trials, which show the weight loss, the max weight loss potential of any drug, they're up to 75% females. Your obesity cohort was 67% female. Your diabetes was actually in the low 40s, meaning that diabetes then technically show where the weight loss could truly go because there were lesser females. And the direction I was going was, is there a male to female imbalance between these arms, which makes them look a little all over the place where you have lesser females in one arm, so the arm looks a little lesser on weight loss and more females than another arm, so it looks deeper. Do we know that off top by any chance?",Alarmed,
Amgen Inc.,AMGN,NASDAQ,2024-12-04,Umer Raffat,"No, clearly, clearly, clearly. Okay. Great. Any questions from the audience so far just before we move on? Heart rate changes perhaps, I know you guys mentioned they were in line with the incretin class. One of the big themes that stood out at EASD, where I missed you. Was one-off going to very, very high levels. Was there any instances of someone going to 15 to 20 beats per minute, anything along those lines?",Alarmed,
Hormel Foods Corporation,HRL,NYSE,2024-12-04,Peter Galbo,"Okay. Okay. Thank you for that clarification. And then if I can just on turkey, I get the -- I think it's $0.025 headwind in the first quarter. I think there was a mention on some benefit from lower grain prices that you're expecting. So is -- maybe I have this wrong, but is the expectation in '25 that turkey on the full year basically ends up being a neutral, again, offsetting the first quarter weakness against kind of a grain benefit? Do we have that correct?",Alarmed,
Royal Bank of Canada,RY,NYSE,2024-12-04,John Aiken,"Good morning. Graeme, I understand your commentary on the macro and completely on side with that, but one of the things that's standing out this quarter is the ongoing uptick in terms of residential mortgage impairments. I was hoping we could get underneath the hood on that a little bit, particularly with when we take a look at what's been going on in terms of the mortgage. The past due has seen a steady incline over the last couple of quarters where we've seen a bit of a more mixed approach with some of the other consumer lending products. Can you give us a sense in terms of what you're seeing in terms of residential mortgage market? What's causing the increase in impairments? And hopefully, some sort of outlook in terms of what you expect for 2025 on residential mortgage in terms of credit quality?",Alarmed,
"Foot Locker, Inc.",FL,NYSE,2024-12-04,Tom Nikic,"Thanks very much for taking my question. Mary, can you speak to the balance between sales and margin in the quarter? You were able to improve both comps and gross margin, but just not to the degree that you expected. Can you kind of rationalize and contextualize the performance in the quarter and kind of drill down a little bit more into what fell short of expectations?",Alarmed,
"Foot Locker, Inc.",FL,NYSE,2024-12-04,Janine Stichter,"Hi, thanks for taking my question. I was hoping you could elaborate a bit more on Champs and WSS. Those have been two underperforming divisions and we saw them start to turn a corner. So just a bit about what's working there, maybe different from the other banners. And then within that, I'd be interested in any demographic trends that you're seeing. I know WSS in particular has higher-lower income consumer exposure. Just curious what you're seeing among income cohorts. Thank you.",Alarmed,
Alcoa Corporation,AA,NYSE,2024-12-04,Jon Tower,"And let's touch on, I guess, sticking with more regulations. How is the regulatory environment in Washington at the moment? Has it softened at all, with some lithium shutdowns? Are there -- are they concerned about competitiveness of processing facilities?",Alarmed,
Stellantis N.V.,STLA,NYSE,2024-12-04,Unidentified Participant,"I think one area which investors have been very focused on is the loss of market share in North America, and you kind of answered it, with respect to the Cherokee, for example, and certain white spaces where you just don't have the product today. Is that the principal driver of why you have seen so much market share loss over the course of the last 12 to 24 months, or has there also been an element of maybe your pricing has been too ambitious?",Alarmed,
McKesson Corporation,MCK,NYSE,2024-12-04,Elizabeth Anderson,"Okay. No, that makes sense. Maybe turning to your international business, which is largely Canada. That has a higher AOI longer term growth rate than the U.S, in terms of how you guys have laid that out. Like, what drives that differential in terms of that growth rate? I know you have a slightly different strategy there than you've been tweaking over the last year or so. But, can you maybe dig into that a little bit more and help us understand those drivers?",Alarmed,
The Campbell's Company,CPB,NASDAQ,2024-12-04,Robert Moskow,"One question on Snacks. The margins were around 13.5% in the quarter. That's quite a bit lower than what I had expected. And I think what Campbell expected too. And I just wanted to know, with this environment for pricing being under pressure and cost you seem to have some supply chain inflation that's a little bit higher than what I would have thought. Can you still hit your margin target for this year? I think there was like a 50 basis point expectation for margin expansion. And maybe just longer-term, I think we are all kind of concerned that the salty snacks category took prices too high during the pandemic and that there is a value correction -- value equation correction that needs to be established going forward. So how does that inform the 17% margin goal longer-term? Thanks.",Alarmed,
LyondellBasell Industries N.V.,LYB,NYSE,2024-12-04,Duffy Fischer,"And then just the last one to put this to that relative to what your expectations were before, the chunks of the business that weakened the most -- I mean, obviously called out polyethylene, you didn't expect a $0.03 in October. But when you go through your other big businesses, PO, Oxys.",Alarmed,
Zoetis Inc.,ZTS,NYSE,2024-12-04,David Westenberg,"Got you. Let's move on to Librela. It was flat sequentially in the U.S. and your numbers in Q3 were really strong. So, the stock took a step back there. Now, in terms of concerns on Librela flat sequentially, can you give us maybe some other examples, including Librela ex U.S., where you maybe didn't see flat sequential -- or where you didn't see some type of flat sequential growth? I mean you've been in the international markets for years now. What's the seasonality look like in Librela?",Alarmed,
Zoetis Inc.,ZTS,NYSE,2024-12-04,David Westenberg,"And then -- yeah, no one want to hear me talk. Just in terms of concerns on the label change, I mean, do you have a time estimate when a label change might occur? And is there any concern here? I know there were neurological lens label on the isoxazoline class, but you still see a major shift to isoxazolines. Any impact from any kind of label change?",Alarmed,
"Editas Medicine, Inc.",EDIT,NASDAQ,2024-12-03,Q - Liisa Bayko,"Great, that was really interesting that you announced an intention to partner a program. It's a little bit of an unusual strategy, often people just partner. Why did you make that decision to announce that?",Alarmed,
"Okta, Inc.",OKTA,NASDAQ,2024-12-03,Madeline Brooks,"Yes. And then so for my follow-up, I guess, if I look at the identity market, both Workforce and SIEM, both growing faster than that 5%. I mean kind if we analyze performance here, is there anything that Okta can do better to try and just reinvigorate the growth in those core markets where the market is growing faster and that 5% growth rate would suggest just some share loss there and any thoughts there? Thank you.",Alarmed,
"Okta, Inc.",OKTA,NASDAQ,2024-12-03,Rob Owens,"Great. Thanks Dave and good afternoon. Todd, I want to build on some of the comments that you made earlier and appreciate kind of the overview of where we are in terms of identity. And I think Brett said, we should be doing better from a new customer perspective. And frankly, I would agree. So where is the market just in terms of being dynamic around customers wanting to switch at this point? We continue to hear identities broken is the reason that most of these breaches occur in the first place. So why isn't that more dynamic? And you've put this hunter-farmer model in nine months ago, and I realize these things take time, but I would expect that [150] (ph) kind of quarter-over-quarter number to start to improve here. So where is the governing factor in that, especially relative to I think your broader comments of where identity is right now?",Alarmed,
RH,RH,NYSE,2024-12-12,Steven Zaccone,"All right. Good afternoon. Thanks for taking my question. Congrats on the accelerating momentum. I was curious, Gary, if you could just help us understand the drivers of really the acceleration in the business. What's really changed with the product? How do you feel about your competitive positioning? Why do you think you're outperforming the industry by such a wide margin? And then if the industry comes back stronger in '25, do you think you're well positioned to scale and fulfill that higher demand?",Confident,
"Build-A-Bear Workshop, Inc.",BBW,NYSE,2024-12-06,Steve Silver,"Thanks, operator. And thanks for taking my questions, and congratulations on the strong quarter. My question first is around the continued strength in traffic. I think it's very impressive how Build-A-Bear continues to outpace the national retail traffic trends out there. And I think on past calls, you've mentioned the leverage that the company could have when it comes time for lease renegotiations given that strength. I'm curious as to whether -- over the next couple of years, whether there's a certain number of stores that might become eligible for lease renewals and if this continued outperformance does provide the company any leverage in those regards?",Confident,
"Chewy, Inc.",CHWY,NYSE,2024-12-04,Nathan Feather,"Thanks for the question, and congrats on the strong results. Really encouraging to see the continued momentum. Active customer growth continues to accelerate. Can you double click on what you're seeing in overall pet ownership trends and how we should think about the relative contribution to customer growth as compared to some of the idiosyncratic initiatives you've been working on? And then given the expectation for customer growth to improve further in 2025, how should we think about the key puts and takes you're considering for growth in the year? Thank you.",Confident,
Potbelly Corporation,PBPB,NASDAQ,2024-11-09,Todd Brooks,"Congrats on a nice quarter in a really choppy macro environment. So well done. If I could jump off -- just kind of looking at the fourth quarter same-store sales guidance, the down 50 basis points to down 250 basis points, can you characterize the momentum that we saw kind of end of Q3 which has continued or maybe accelerated a little bit into Q4? Just trying to qualitatively get a sense that, are we coming in towards the higher end of that and that guidance is basically giving us a cushion if the consumer slows as we get towards the holidays and things may get a little choppier with them? Or is there any way to kind of characterize what drives the tail outcomes within the guidance?",Confident,
